sentid	pairid	condition	comparison	sentence	ROI
103	52	sentence_meaning2_syn1	expected	That sentence doesn’t have a subject or a verb.	1
104	52	sentence_meaning2_syn1	unexpected	That clause doesn’t have a subject or a verb.	1
105	53	sentence_meaning2_syn1	expected	Please correct the grammar in this sentence.	6
106	53	sentence_meaning2_syn1	unexpected	Please correct the grammar in this clause	6
107	54	sentence_meaning2_syn1	expected	The sentence ended with an exclamation mark.	1
108	54	sentence_meaning2_syn1	unexpected	The clause ended with an exclamation mark.	1
109	55	sentence_meaning2_syn1	expected	She wrote a long sentence full of descriptive words.	4
110	55	sentence_meaning2_syn1	unexpected	She wrote a long clause full of descriptive words.	4
111	56	sentence_meaning2_syn2	expected	Each student had to write a complete sentence on the board.	7
112	56	sentence_meaning2_syn2	unexpected	Each student had to write a complete phrase on the board.	7
113	57	sentence_meaning2_syn2	expected	That sentence doesn’t have a subject or a verb.	1
114	57	sentence_meaning2_syn2	unexpected	That phrase doesn’t have a subject or a verb.	1
115	58	sentence_meaning2_syn2	expected	Please correct the grammar in this sentence.	6
116	58	sentence_meaning2_syn2	unexpected	Please correct the grammar in this phrase	6
117	59	sentence_meaning2_syn2	expected	The sentence ended with an exclamation mark.	1
118	59	sentence_meaning2_syn2	unexpected	The phrase ended with an exclamation mark.	1
119	60	sentence_meaning2_syn2	expected	She wrote a long sentence full of descriptive words.	4
120	60	sentence_meaning2_syn2	unexpected	She wrote a long phrase full of descriptive words.	4
121	61	fit_meaning1_syn1	expected	She goes to the gym every day to stay fit.	9
122	61	fit_meaning1_syn1	unexpected	She goes to the gym every day to stay healthy	9
123	62	fit_meaning1_syn1	expected	After months of training, he finally felt fit again.	7
124	62	fit_meaning1_syn1	unexpected	After months of training, he finally felt healthy again.	7
125	63	fit_meaning1_syn1	expected	The coach said she was fit enough to compete.	5
126	63	fit_meaning1_syn1	unexpected	The coach said she was healthy enough to compete.	5
127	64	fit_meaning1_syn1	expected	He eats well to keep his body fit.	7
128	64	fit_meaning1_syn1	unexpected	He eats well to keep his body healthy	7
129	65	fit_meaning1_syn1	expected	They admire people who are strong and fit.	7
130	65	fit_meaning1_syn1	unexpected	They admire people who are strong and healthy	7
131	66	fit_meaning1_syn2	expected	She goes to the gym every day to stay fit.	9
132	66	fit_meaning1_syn2	unexpected	She goes to the gym every day to stay athletic	9
133	67	fit_meaning1_syn2	expected	After months of training, he finally felt fit again.	7
134	67	fit_meaning1_syn2	unexpected	After months of training, he finally felt athletic again.	7
135	68	fit_meaning1_syn2	expected	The coach said she was fit enough to compete.	5
136	68	fit_meaning1_syn2	unexpected	The coach said she was athletic enough to compete.	5
137	69	fit_meaning1_syn2	expected	He eats well to keep his body fit.	7
138	69	fit_meaning1_syn2	unexpected	He eats well to keep his body athletic	7
139	70	fit_meaning1_syn2	expected	They admire people who are strong and fit.	7
140	70	fit_meaning1_syn2	unexpected	They admire people who are strong and athletic	7
141	71	fit_meaning2_syn1	expected	That dress is not fit for a formal dinner.	4
142	71	fit_meaning2_syn1	unexpected	That dress is not appropriate for a formal dinner.	4
143	72	fit_meaning2_syn1	expected	The movie is not fit for young children.	4
144	72	fit_meaning2_syn1	unexpected	The movie is not appropriate for young children.	4
145	73	fit_meaning2_syn1	expected	This tool is fit for heavy construction work.	3
146	73	fit_meaning2_syn1	unexpected	This tool is appropriate for heavy construction work.	3
147	74	fit_meaning2_syn1	expected	Her remarks were not fit for a public event.	4
148	74	fit_meaning2_syn1	unexpected	Her remarks were not appropriate for a public event.	4
149	75	fit_meaning2_syn1	expected	Only candidates fit for leadership will be considered.	2
150	75	fit_meaning2_syn1	unexpected	Only candidates appropriate for leadership will be considered.	2
151	76	fit_meaning2_syn2	expected	That dress is not fit for a formal dinner.	4
152	76	fit_meaning2_syn2	unexpected	That dress is not suited for a formal dinner.	4
153	77	fit_meaning2_syn2	expected	The movie is not fit for young children.	4
154	77	fit_meaning2_syn2	unexpected	The movie is not suited for young children.	4
155	78	fit_meaning2_syn2	expected	This tool is fit for heavy construction work.	3
156	78	fit_meaning2_syn2	unexpected	This tool is suited for heavy construction work.	3
157	79	fit_meaning2_syn2	expected	Her remarks were not fit for a public event.	4
158	79	fit_meaning2_syn2	unexpected	Her remarks were not suited for a public event.	4
159	80	fit_meaning2_syn2	expected	Only candidates fit for leadership will be considered.	2
160	80	fit_meaning2_syn2	unexpected	Only candidates suited for leadership will be considered.	2
161	81	dust_meaning1_syn1	expected	To clean by removing dust (sweep/wipe)	4
162	81	dust_meaning1_syn1	unexpected	To clean by removing sweep (sweep/wipe)	4
163	82	dust_meaning1_syn1	expected	I like to dust the shelves before guests arrive.	3
164	82	dust_meaning1_syn1	unexpected	I like to sweep the shelves before guests arrive.	3
165	83	dust_meaning1_syn1	expected	They always dust the furniture on weekends.	2
166	83	dust_meaning1_syn1	unexpected	They always sweep the furniture on weekends.	2
167	84	dust_meaning1_syn1	expected	We need to dust the old books before putting them back.	3
168	84	dust_meaning1_syn1	unexpected	We need to sweep the old books before putting them back.	3
169	85	dust_meaning1_syn1	expected	She prefers to dust the windowsills every morning.	3
170	85	dust_meaning1_syn1	unexpected	She prefers to sweep the windowsills every morning.	3
171	86	dust_meaning1_syn1	expected	He likes to dust the table before dinner.	3
172	86	dust_meaning1_syn1	unexpected	He likes to sweep the table before dinner.	3
173	87	dust_meaning1_syn2	expected	To clean by removing dust (sweep/wipe)	4
174	87	dust_meaning1_syn2	unexpected	To clean by removing wipe (sweep/wipe)	4
175	88	dust_meaning1_syn2	expected	I like to dust the shelves before guests arrive.	3
176	88	dust_meaning1_syn2	unexpected	I like to wipe the shelves before guests arrive.	3
177	89	dust_meaning1_syn2	expected	They always dust the furniture on weekends.	2
178	89	dust_meaning1_syn2	unexpected	They always wipe the furniture on weekends.	2
179	90	dust_meaning1_syn2	expected	We need to dust the old books before putting them back.	3
180	90	dust_meaning1_syn2	unexpected	We need to wipe the old books before putting them back.	3
181	91	dust_meaning1_syn2	expected	She prefers to dust the windowsills every morning.	3
182	91	dust_meaning1_syn2	unexpected	She prefers to wipe the windowsills every morning.	3
183	92	dust_meaning1_syn2	expected	He likes to dust the table before dinner.	3
184	92	dust_meaning1_syn2	unexpected	He likes to wipe the table before dinner.	3
185	93	dust_meaning2_syn1	expected	I like to dust the cake with powdered sugar.	3
186	93	dust_meaning2_syn1	unexpected	I like to sprinkle the cake with powdered sugar.	3
187	94	dust_meaning2_syn1	expected	She likes to dust the cookies with cocoa before serving them.	3
188	94	dust_meaning2_syn1	unexpected	She likes to sprinkle the cookies with cocoa before serving them.	3
189	95	dust_meaning2_syn1	expected	The chef likes to dust the plate with herbs for decoration.	4
190	95	dust_meaning2_syn1	unexpected	The chef likes to sprinkle the plate with herbs for decoration.	4
191	96	dust_meaning2_syn1	expected	We often dust the brownies with sugar before packaging them.	2
192	96	dust_meaning2_syn1	unexpected	We often sprinkle the brownies with sugar before packaging them.	2
193	97	dust_meaning2_syn1	expected	She loves to dust her clothes with perfume before going out.	3
194	97	dust_meaning2_syn1	unexpected	She loves to sprinkle her clothes with perfume before going out.	3
195	98	dust_meaning2_syn2	expected	I like to dust the cake with powdered sugar.	3
196	98	dust_meaning2_syn2	unexpected	I like to spray the cake with powdered sugar.	3
197	99	dust_meaning2_syn2	expected	She likes to dust the cookies with cocoa before serving them.	3
198	99	dust_meaning2_syn2	unexpected	She likes to spray the cookies with cocoa before serving them.	3
199	100	dust_meaning2_syn2	expected	The chef likes to dust the plate with herbs for decoration.	4
200	100	dust_meaning2_syn2	unexpected	The chef likes to spray the plate with herbs for decoration.	4
201	101	dust_meaning2_syn2	expected	We often dust the brownies with sugar before packaging them.	2
202	101	dust_meaning2_syn2	unexpected	We often spray the brownies with sugar before packaging them.	2
203	102	dust_meaning2_syn2	expected	She loves to dust her clothes with perfume before going out.	3
204	102	dust_meaning2_syn2	unexpected	She loves to spray her clothes with perfume before going out.	3
205	103	fan_meaning1_syn1	expected	The fan kept the room cool during the summer.	1
206	103	fan_meaning1_syn1	unexpected	The ventilator kept the room cool during the summer.	1
207	104	fan_meaning1_syn1	expected	He switched on the fan to circulate the air.	4
208	104	fan_meaning1_syn1	unexpected	He switched on the ventilator to circulate the air.	4
209	105	fan_meaning1_syn1	expected	The fan made a quiet humming sound.	1
210	105	fan_meaning1_syn1	unexpected	The ventilator made a quiet humming sound.	1
211	106	fan_meaning1_syn1	expected	They installed a new fan in the ceiling.	4
212	106	fan_meaning1_syn1	unexpected	They installed a new ventilator in the ceiling.	4
213	107	fan_meaning1_syn1	expected	She cleaned the fan blades to improve airflow.	3
214	107	fan_meaning1_syn1	unexpected	She cleaned the ventilator blades to improve airflow.	3
215	108	fan_meaning1_syn2	expected	The fan kept the room cool during the summer.	1
216	108	fan_meaning1_syn2	unexpected	The blower kept the room cool during the summer.	1
217	109	fan_meaning1_syn2	expected	He switched on the fan to circulate the air.	4
218	109	fan_meaning1_syn2	unexpected	He switched on the blower to circulate the air.	4
219	110	fan_meaning1_syn2	expected	The fan made a quiet humming sound.	1
220	110	fan_meaning1_syn2	unexpected	The blower made a quiet humming sound.	1
221	111	fan_meaning1_syn2	expected	They installed a new fan in the ceiling.	4
222	111	fan_meaning1_syn2	unexpected	They installed a new blower in the ceiling.	4
223	112	fan_meaning1_syn2	expected	She cleaned the fan blades to improve airflow.	3
224	112	fan_meaning1_syn2	unexpected	She cleaned the blower blades to improve airflow.	3
225	113	fan_meaning2_syn1	expected	She’s a huge fan of classical music.	3
226	113	fan_meaning2_syn1	unexpected	She’s a huge supporter of classical music.	3
227	114	fan_meaning2_syn1	expected	He’s a loyal fan of the local football team.	3
228	114	fan_meaning2_syn1	unexpected	He’s a loyal supporter of the local football team.	3
229	115	fan_meaning2_syn1	expected	The fan cheered loudly during the concert.	1
230	115	fan_meaning2_syn1	unexpected	The supporter cheered loudly during the concert.	1
231	116	fan_meaning2_syn1	expected	Every fan in the stadium wore team colors.	1
232	116	fan_meaning2_syn1	unexpected	Every supporter in the stadium wore team colors.	1
233	117	fan_meaning2_syn1	expected	She’s been a fan of that artist for years.	3
234	117	fan_meaning2_syn1	unexpected	She’s been a supporter of that artist for years.	3
235	118	fan_meaning2_syn2	expected	She’s a huge fan of classical music.	3
236	118	fan_meaning2_syn2	unexpected	She’s a huge enthusiast of classical music.	3
237	119	fan_meaning2_syn2	expected	He’s a loyal fan of the local football team.	3
238	119	fan_meaning2_syn2	unexpected	He’s a loyal enthusiast of the local football team.	3
239	120	fan_meaning2_syn2	expected	The fan cheered loudly during the concert.	1
240	120	fan_meaning2_syn2	unexpected	The enthusiast cheered loudly during the concert.	1
241	121	fan_meaning2_syn2	expected	Every fan in the stadium wore team colors.	1
242	121	fan_meaning2_syn2	unexpected	Every enthusiast in the stadium wore team colors.	1
243	122	fan_meaning2_syn2	expected	She’s been a fan of that artist for years.	3
244	122	fan_meaning2_syn2	unexpected	She’s been a enthusiast of that artist for years.	3
245	123	hard_meaning1_syn1	expected	The rock was too hard to break with a hammer.	4
246	123	hard_meaning1_syn1	unexpected	The rock was too solid to break with a hammer.	4
247	124	hard_meaning1_syn1	expected	The ground was hard after the long drought.	3
248	124	hard_meaning1_syn1	unexpected	The ground was solid after the long drought.	3
249	125	hard_meaning1_syn1	expected	The frozen soil felt hard underfoot.	4
250	125	hard_meaning1_syn1	unexpected	The frozen soil felt solid underfoot.	4
251	126	hard_meaning1_syn1	expected	The wood was hard and difficult to cut.	3
252	126	hard_meaning1_syn1	unexpected	The wood was solid and difficult to cut.	3
253	127	hard_meaning1_syn1	expected	Diamond is a really hard material.	4
254	127	hard_meaning1_syn1	unexpected	Diamond is a really solid material.	4
255	128	hard_meaning1_syn2	expected	The rock was too hard to break with a hammer.	4
256	128	hard_meaning1_syn2	unexpected	The rock was too dense to break with a hammer.	4
257	129	hard_meaning1_syn2	expected	The ground was hard after the long drought.	3
258	129	hard_meaning1_syn2	unexpected	The ground was dense after the long drought.	3
259	130	hard_meaning1_syn2	expected	The frozen soil felt hard underfoot.	4
260	130	hard_meaning1_syn2	unexpected	The frozen soil felt dense underfoot.	4
261	131	hard_meaning1_syn2	expected	The wood was hard and difficult to cut.	3
262	131	hard_meaning1_syn2	unexpected	The wood was dense and difficult to cut.	3
263	132	hard_meaning1_syn2	expected	Diamond is a really hard material.	4
264	132	hard_meaning1_syn2	unexpected	Diamond is a really dense material.	4
265	133	hard_meaning2_syn1	expected	It’s hard to learn a new language as an adult.	1
266	133	hard_meaning2_syn1	unexpected	It’s difficult to learn a new language as an adult.	1
267	134	hard_meaning2_syn1	expected	The hike was hard but rewarding.	3
268	134	hard_meaning2_syn1	unexpected	The hike was difficult but rewarding.	3
269	135	hard_meaning2_syn1	expected	Finishing the project on time was hard.	6
270	135	hard_meaning2_syn1	unexpected	Finishing the project on time was difficult	6
271	136	hard_meaning2_syn1	expected	Solving that problem was really hard for me.	5
272	136	hard_meaning2_syn1	unexpected	Solving that problem was really difficult for me.	5
273	137	hard_meaning2_syn2	expected	It’s hard to learn a new language as an adult.	1
274	137	hard_meaning2_syn2	unexpected	It’s strenuous to learn a new language as an adult.	1
275	138	hard_meaning2_syn2	expected	The hike was hard but rewarding.	3
276	138	hard_meaning2_syn2	unexpected	The hike was strenuous but rewarding.	3
277	139	hard_meaning2_syn2	expected	Finishing the project on time was hard.	6
278	139	hard_meaning2_syn2	unexpected	Finishing the project on time was strenuous	6
279	140	hard_meaning2_syn2	expected	Solving that problem was really hard for me.	5
280	140	hard_meaning2_syn2	unexpected	Solving that problem was really strenuous for me.	5
281	141	cover_meaning1_syn1	expected	She used an umbrella to cover herself from the rain.	5
282	141	cover_meaning1_syn1	unexpected	She used an umbrella to protect herself from the rain.	5
283	142	cover_meaning1_syn1	expected	The wall was built to cover the garden from the wind.	5
284	142	cover_meaning1_syn1	unexpected	The wall was built to protect the garden from the wind.	5
285	143	cover_meaning1_syn2	expected	She used an umbrella to cover herself from the rain.	5
286	143	cover_meaning1_syn2	unexpected	She used an umbrella to shelter herself from the rain.	5
287	144	cover_meaning1_syn2	expected	The wall was built to cover the garden from the wind.	5
288	144	cover_meaning1_syn2	unexpected	The wall was built to shelter the garden from the wind.	5
289	145	cover_meaning2_syn1	expected	The journalist was sent to cover the election results.	5
290	145	cover_meaning2_syn1	unexpected	The journalist was sent to report the election results.	5
291	146	cover_meaning2_syn1	expected	She was asked to cover the conference for the magazine.	4
292	146	cover_meaning2_syn1	unexpected	She was asked to report the conference for the magazine.	4
293	147	cover_meaning2_syn2	expected	The journalist was sent to cover the election results.	5
294	147	cover_meaning2_syn2	unexpected	The journalist was sent to detail the election results.	5
295	148	cover_meaning2_syn2	expected	She was asked to cover the conference for the magazine.	4
296	148	cover_meaning2_syn2	unexpected	She was asked to detail the conference for the magazine.	4
297	149	hack_meaning1_syn1	expected	I hack through the thick vines with a machete.	1
298	149	hack_meaning1_syn1	unexpected	I chop through the thick vines with a machete.	1
299	150	hack_meaning1_syn1	expected	The butchers hack the meat into smaller pieces.	2
300	150	hack_meaning1_syn1	unexpected	The butchers chop the meat into smaller pieces.	2
301	151	hack_meaning1_syn1	expected	They hack away at the branches until the path is clear.	1
302	151	hack_meaning1_syn1	unexpected	They chop away at the branches until the path is clear.	1
303	152	hack_meaning1_syn1	expected	They hack a rough trail through the forest.	1
304	152	hack_meaning1_syn1	unexpected	They chop a rough trail through the forest.	1
305	153	hack_meaning1_syn1	expected	He and his family hack the wood to make kindling for the fire.	4
306	153	hack_meaning1_syn1	unexpected	He and his family chop the wood to make kindling for the fire.	4
307	154	hack_meaning1_syn2	expected	I hack through the thick vines with a machete.	1
308	154	hack_meaning1_syn2	unexpected	I slash through the thick vines with a machete.	1
309	155	hack_meaning1_syn2	expected	The butchers hack the meat into smaller pieces.	2
310	155	hack_meaning1_syn2	unexpected	The butchers slash the meat into smaller pieces.	2
311	156	hack_meaning1_syn2	expected	They hack away at the branches until the path is clear.	1
312	156	hack_meaning1_syn2	unexpected	They slash away at the branches until the path is clear.	1
313	157	hack_meaning1_syn2	expected	They hack a rough trail through the forest.	1
314	157	hack_meaning1_syn2	unexpected	They slash a rough trail through the forest.	1
315	158	hack_meaning1_syn2	expected	He and his family hack the wood to make kindling for the fire.	4
316	158	hack_meaning1_syn2	unexpected	He and his family slash the wood to make kindling for the fire.	4
317	159	hack_meaning2_syn1	expected	They hack the company’s server.	1
318	159	hack_meaning2_syn1	unexpected	They infiltrate the company’s server.	1
319	160	hack_meaning2_syn1	expected	Some evil people hack his email account.	3
320	160	hack_meaning2_syn1	unexpected	Some evil people infiltrate his email account.	3
321	161	hack_meaning2_syn1	expected	The group named Anonymous hack the system to expose security flaws.	4
322	161	hack_meaning2_syn1	unexpected	The group named Anonymous infiltrate the system to expose security flaws.	4
323	162	hack_meaning2_syn1	expected	Hackers hack the government database.	1
324	162	hack_meaning2_syn1	unexpected	Hackers infiltrate the government database.	1
325	163	hack_meaning2_syn1	expected	They hack the network to steal sensitive data.	1
326	163	hack_meaning2_syn1	unexpected	They infiltrate the network to steal sensitive data.	1
327	164	hack_meaning2_syn2	expected	They hack the company’s server.	1
328	164	hack_meaning2_syn2	unexpected	They invade the company’s server.	1
329	165	hack_meaning2_syn2	expected	Some evil people hack his email account.	3
330	165	hack_meaning2_syn2	unexpected	Some evil people invade his email account.	3
331	166	hack_meaning2_syn2	expected	The group named Anonymous hack the system to expose security flaws.	4
332	166	hack_meaning2_syn2	unexpected	The group named Anonymous invade the system to expose security flaws.	4
333	167	hack_meaning2_syn2	expected	Hackers hack the government database.	1
334	167	hack_meaning2_syn2	unexpected	Hackers invade the government database.	1
335	168	hack_meaning2_syn2	expected	They hack the network to steal sensitive data.	1
336	168	hack_meaning2_syn2	unexpected	They invade the network to steal sensitive data.	1
337	169	cool_meaning1_syn1	expected	The morning air felt cool after the rain.	4
338	169	cool_meaning1_syn1	unexpected	The morning air felt chilly after the rain.	4
339	170	cool_meaning1_syn1	expected	It’s getting cool now that the sun has gone down.	2
340	170	cool_meaning1_syn1	unexpected	It’s getting chilly now that the sun has gone down.	2
341	171	cool_meaning1_syn1	expected	The breeze from the ocean was cool and refreshing.	6
342	171	cool_meaning1_syn1	unexpected	The breeze from the ocean was chilly and refreshing.	6
343	172	cool_meaning1_syn1	expected	She put on a jacket to stay warm in the cool evening.	10
344	172	cool_meaning1_syn1	unexpected	She put on a jacket to stay warm in the chilly evening.	10
345	173	cool_meaning1_syn1	expected	The water in the pool was cool to the touch.	6
346	173	cool_meaning1_syn1	unexpected	The water in the pool was chilly to the touch.	6
347	174	cool_meaning1_syn2	expected	The morning air felt cool after the rain.	4
348	174	cool_meaning1_syn2	unexpected	The morning air felt freezing after the rain.	4
349	175	cool_meaning1_syn2	expected	It’s getting cool now that the sun has gone down.	2
350	175	cool_meaning1_syn2	unexpected	It’s getting freezing now that the sun has gone down.	2
351	176	cool_meaning1_syn2	expected	The breeze from the ocean was cool and refreshing.	6
352	176	cool_meaning1_syn2	unexpected	The breeze from the ocean was freezing and refreshing.	6
353	177	cool_meaning1_syn2	expected	She put on a jacket to stay warm in the cool evening.	10
354	177	cool_meaning1_syn2	unexpected	She put on a jacket to stay warm in the freezing evening.	10
355	178	cool_meaning1_syn2	expected	The water in the pool was cool to the touch.	6
356	178	cool_meaning1_syn2	unexpected	The water in the pool was freezing to the touch.	6
357	179	cool_meaning2_syn1	expected	That jacket looks really cool on you.	4
358	179	cool_meaning2_syn1	unexpected	That jacket looks really stylish on you.	4
359	180	cool_meaning2_syn1	expected	He always wears cool sunglasses wherever he goes.	3
360	180	cool_meaning2_syn1	unexpected	He always wears stylish sunglasses wherever he goes.	3
361	181	cool_meaning2_syn1	expected	Her haircut is so cool and modern.	4
362	181	cool_meaning2_syn1	unexpected	Her haircut is so stylish and modern.	4
363	182	cool_meaning2_syn1	expected	The new phone design looks sleek and cool.	7
364	182	cool_meaning2_syn1	unexpected	The new phone design looks sleek and stylish	7
365	183	cool_meaning2_syn1	expected	Everyone thought his dance moves were super cool.	7
366	183	cool_meaning2_syn1	unexpected	Everyone thought his dance moves were super stylish	7
367	184	cool_meaning2_syn2	expected	That jacket looks really cool on you.	4
368	184	cool_meaning2_syn2	unexpected	That jacket looks really fashionable on you.	4
369	185	cool_meaning2_syn2	expected	He always wears cool sunglasses wherever he goes.	3
