Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq
26	2	the	4	False	FacebookAI/roberta-base	0.7816962599754333	0.3553198873996734	2	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	6500900	15.687451340644257
27	3	command	4	False	FacebookAI/roberta-base	0.0127405608072876	6.294427394866943	3	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	4722	8.460199469896118
28	4	without	4	False	FacebookAI/roberta-base	0.9985092282295228	0.0021523043978959	4	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	57243	10.955078112430767
29	5	hesitation.	4	False	FacebookAI/roberta-base	0.7586451768875122	0.4106292799115181	5	2	order_meaning1_syn1	unexpected	He followed the command without hesitation.	3	414	6.028278520230698
30	0	The	5	False	FacebookAI/roberta-base	0.650015652179718	0.6214536428451538	0	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	6500900	15.687451340644257
31	1	general	5	False	FacebookAI/roberta-base	5.274304930935614e-05	14.21065902709961	1	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	24827	10.119727327533543
32	2	issued	5	False	FacebookAI/roberta-base	0.0489056520164012	4.353855133056641	2	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	3890	8.266421472984554
33	3	an	5	False	FacebookAI/roberta-base	0.7157419323921204	0.4824885427951813	3	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	435700	12.984711507260117
34	4	order	5	False	FacebookAI/roberta-base	0.7897476553916931	0.3405363261699676	4	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	24691	10.114234583513786
35	5	to	5	False	FacebookAI/roberta-base	0.9990652203559875	0.0013492606813088	5	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	3042375	14.928149347056001
36	6	move	5	False	FacebookAI/roberta-base	0.7019907832145691	0.5104759931564331	6	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	26475	10.183993941238814
37	7	forward.	5	False	FacebookAI/roberta-base	0.5401514545083046	1.2350301668047905	7	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	14805	9.602787783003043
38	0	The	6	False	FacebookAI/roberta-base	0.8802408576011658	0.1840298026800155	0	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	6500900	15.687451340644257
39	1	general	6	False	FacebookAI/roberta-base	0.0083817970007658	6.898524761199951	1	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	24827	10.119727327533543
40	2	issued	6	False	FacebookAI/roberta-base	0.0547935031354427	4.1898512840271	2	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	3890	8.266421472984554
41	3	an	6	False	FacebookAI/roberta-base	0.0002183767355745	12.160893440246582	3	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	435700	12.984711507260117
42	4	command	6	False	FacebookAI/roberta-base	4.941573024552781e-06	17.626598358154297	4	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	4722	8.460199469896118
43	5	to	6	False	FacebookAI/roberta-base	0.9960311055183412	0.0057372692972421	5	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	3042375	14.928149347056001
44	6	move	6	False	FacebookAI/roberta-base	0.6546449661254883	0.6112154126167297	6	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	26475	10.183993941238814
45	7	forward.	6	False	FacebookAI/roberta-base	0.3851271569728851	1.4597560465335844	7	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	14805	9.602787783003043
46	0	She	7	False	FacebookAI/roberta-base	0.1219305023550987	3.0358691215515137	0	4	order_meaning1_syn1	expected	She refused to obey the order.	5	272348	12.514839611059164
47	1	refused	7	False	FacebookAI/roberta-base	0.4220059514045715	1.2446647882461548	1	4	order_meaning1_syn1	expected	She refused to obey the order.	5	4484	8.408493774492896
48	2	to	7	False	FacebookAI/roberta-base	0.999879002571106	0.0001745518238749	2	4	order_meaning1_syn1	expected	She refused to obey the order.	5	3042375	14.928149347056001
49	3	obey	7	False	FacebookAI/roberta-base	0.5439059734344482	0.8785708546638489	3	4	order_meaning1_syn1	expected	She refused to obey the order.	5	535	6.284134161070802
50	4	the	7	False	FacebookAI/roberta-base	0.7219630479812622	0.4700030386447906	4	4	order_meaning1_syn1	expected	She refused to obey the order.	5	6500900	15.687451340644257
51	5	order.	7	False	FacebookAI/roberta-base	0.604322761297226	0.9338856339454652	5	4	order_meaning1_syn1	expected	She refused to obey the order.	5	24691	10.114234583513786
52	0	She	8	False	FacebookAI/roberta-base	0.1801367402076721	2.4728357791900635	0	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	272348	12.514839611059164
53	1	refused	8	False	FacebookAI/roberta-base	0.5044357180595398	0.9872576594352722	1	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	4484	8.408493774492896
54	2	to	8	False	FacebookAI/roberta-base	0.9999120235443116	0.0001269176136702	2	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	3042375	14.928149347056001
55	3	obey	8	False	FacebookAI/roberta-base	0.1696099191904068	2.5597076416015625	3	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	535	6.284134161070802
56	4	the	8	False	FacebookAI/roberta-base	0.3055790662765503	1.7103824615478516	4	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	6500900	15.687451340644257
57	5	command	8	False	FacebookAI/roberta-base	0.0031700578983873	8.301275253295898	5	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	4722	8.460199469896118
58	0	The	9	False	FacebookAI/roberta-base	0.8734983205795288	0.1951231509447097	0	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	6500900	15.687451340644257
59	1	manager	9	False	FacebookAI/roberta-base	0.004333914257586	7.850113868713379	1	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	10565	9.26539657772426
60	2	gave	9	False	FacebookAI/roberta-base	0.1671284884214401	2.580970525741577	2	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	19334	9.869672204041397
61	3	an	9	False	FacebookAI/roberta-base	0.2737936377525329	1.868839144706726	3	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	435700	12.984711507260117
62	4	order	9	False	FacebookAI/roberta-base	0.9840458631515504	0.023202572017908	4	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	24691	10.114234583513786
63	5	to	9	False	FacebookAI/roberta-base	0.9962298274040222	0.0054494561627507	5	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	3042375	14.928149347056001
64	6	stop	9	False	FacebookAI/roberta-base	0.5757483243942261	0.7964898347854614	6	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	20247	9.91581130222496
65	7	production.	9	False	FacebookAI/roberta-base	0.4473466037889011	5.05670266598463	7	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	12841	9.460476328353995
66	0	The	10	False	FacebookAI/roberta-base	0.7755001783370972	0.366800993680954	0	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	6500900	15.687451340644257
67	1	manager	10	False	FacebookAI/roberta-base	0.0037042226176708	8.076613426208496	1	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	10565	9.26539657772426
68	2	gave	10	False	FacebookAI/roberta-base	0.0772541314363479	3.694244146347046	2	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	19334	9.869672204041397
69	3	an	10	False	FacebookAI/roberta-base	0.0002812304010149	11.79595947265625	3	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	435700	12.984711507260117
70	4	command	10	False	FacebookAI/roberta-base	2.3140971734392224e-06	18.72111892700196	4	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	4722	8.460199469896118
71	5	to	10	False	FacebookAI/roberta-base	0.990932822227478	0.0131408432498574	5	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	3042375	14.928149347056001
72	6	stop	10	False	FacebookAI/roberta-base	0.4385019540786743	1.1893447637557983	6	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	20247	9.91581130222496
73	7	production.	10	False	FacebookAI/roberta-base	0.3299695174209773	3.736883759498596	7	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	12841	9.460476328353995
74	0	The	11	False	FacebookAI/roberta-base	0.96859210729599	0.046038880944252	0	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257
75	1	captain	11	False	FacebookAI/roberta-base	0.1735622584819793	2.526474952697754	1	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3968	8.286269452783065
76	2	gave	11	False	FacebookAI/roberta-base	0.6407376527786255	0.642194390296936	2	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	19334	9.869672204041397
77	3	an	11	False	FacebookAI/roberta-base	0.1229027807712555	3.024410486221313	3	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	435700	12.984711507260117
78	4	order	11	False	FacebookAI/roberta-base	0.9915716648101808	0.0122110554948449	4	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	24691	10.114234583513786
79	5	to	11	False	FacebookAI/roberta-base	0.9988481998443604	0.0016626298893243	5	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3042375	14.928149347056001
80	6	fire	11	False	FacebookAI/roberta-base	0.0422908253967762	4.563511371612549	6	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	15897	9.673948594133059
81	7	the	11	False	FacebookAI/roberta-base	0.6545588970184326	0.6114051342010498	7	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257
82	8	engines.	11	False	FacebookAI/roberta-base	0.4285039914539083	4.9229257851839066	8	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3336	8.112827478751374
83	0	The	12	False	FacebookAI/roberta-base	0.9597779512405396	0.0592274330556392	0	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	6500900	15.687451340644257
84	1	captain	12	False	FacebookAI/roberta-base	0.1438014209270477	2.7978501319885254	1	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3968	8.286269452783065
85	2	gave	12	False	FacebookAI/roberta-base	0.5239588022232056	0.9324747920036316	2	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	19334	9.869672204041397
86	3	an	12	False	FacebookAI/roberta-base	0.0472616627812385	4.403185844421387	3	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	435700	12.984711507260117
87	4	instruction	12	False	FacebookAI/roberta-base	0.0042460574768483	7.879660129547119	4	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	1865	7.531552381407289
88	5	to	12	False	FacebookAI/roberta-base	0.9958946704864502	0.0059349359944462	5	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3042375	14.928149347056001
89	6	fire	12	False	FacebookAI/roberta-base	0.0232407581061124	5.427198886871338	6	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	15897	9.673948594133059
90	7	the	12	False	FacebookAI/roberta-base	0.6359705328941345	0.6529682278633118	7	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	6500900	15.687451340644257
91	8	engines.	12	False	FacebookAI/roberta-base	0.3326071460614912	4.823582887649536	8	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3336	8.112827478751374
92	0	He	13	False	FacebookAI/roberta-base	0.4683234691619873	1.0944228172302246	0	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	622141	13.340923641485727
93	1	followed	13	False	FacebookAI/roberta-base	0.1706204563379287	2.5511374473571777	1	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	11223	9.325809621782296
94	2	the	13	False	FacebookAI/roberta-base	0.798460066318512	0.3247078359127044	2	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	6500900	15.687451340644257
95	3	order	13	False	FacebookAI/roberta-base	0.0208832509815692	5.581509590148926	3	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	24691	10.114234583513786
96	4	without	13	False	FacebookAI/roberta-base	0.9962157607078552	0.0054698446765542	4	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	57243	10.955078112430767
97	5	hesitation.	13	False	FacebookAI/roberta-base	0.669998049736023	0.6748878434300423	5	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	414	6.028278520230698
98	0	He	14	False	FacebookAI/roberta-base	0.4285371601581573	1.2225078344345093	0	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	622141	13.340923641485727
99	1	followed	14	False	FacebookAI/roberta-base	0.5702387094497681	0.8103620409965515	1	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	11223	9.325809621782296
100	2	the	14	False	FacebookAI/roberta-base	0.6050017476081848	0.7249888181686401	2	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	6500900	15.687451340644257
101	3	instruction	14	False	FacebookAI/roberta-base	0.0025443555787205	8.618483543395996	3	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	1865	7.531552381407289
102	4	without	14	False	FacebookAI/roberta-base	0.9967613816261292	0.0046799601987004	4	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	57243	10.955078112430767
103	5	hesitation.	14	False	FacebookAI/roberta-base	0.6213645488023758	0.7715058773756027	5	7	order_meaning1_syn2	unexpected	He followed the instruction without hesitation.	3	414	6.028278520230698
104	0	The	15	False	FacebookAI/roberta-base	0.650015652179718	0.6214536428451538	0	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	6500900	15.687451340644257
105	1	general	15	False	FacebookAI/roberta-base	5.274304930935614e-05	14.21065902709961	1	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	24827	10.119727327533543
106	2	issued	15	False	FacebookAI/roberta-base	0.0489056520164012	4.353855133056641	2	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	3890	8.266421472984554
107	3	an	15	False	FacebookAI/roberta-base	0.7157419323921204	0.4824885427951813	3	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	435700	12.984711507260117
108	4	order	15	False	FacebookAI/roberta-base	0.7897476553916931	0.3405363261699676	4	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	24691	10.114234583513786
109	5	to	15	False	FacebookAI/roberta-base	0.9990652203559875	0.0013492606813088	5	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	3042375	14.928149347056001
110	6	move	15	False	FacebookAI/roberta-base	0.7019907832145691	0.5104759931564331	6	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	26475	10.183993941238814
111	7	forward.	15	False	FacebookAI/roberta-base	0.5401514545083046	1.2350301668047905	7	8	order_meaning1_syn2	expected	The general issued an order to move forward.	4	14805	9.602787783003043
112	0	The	16	False	FacebookAI/roberta-base	0.9018399119377136	0.1490567773580551	0	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	6500900	15.687451340644257
113	1	general	16	False	FacebookAI/roberta-base	0.0004389831447042	11.153546333312988	1	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	24827	10.119727327533543
114	2	issued	16	False	FacebookAI/roberta-base	0.0081351809203624	6.941609859466553	2	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	3890	8.266421472984554
115	3	an	16	False	FacebookAI/roberta-base	0.8284926414489746	0.2714392244815826	3	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	435700	12.984711507260117
116	4	instruction	16	False	FacebookAI/roberta-base	0.0144509971141815	6.112687110900879	4	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	1865	7.531552381407289
117	5	to	16	False	FacebookAI/roberta-base	0.9992412328720092	0.0010951136937364	5	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	3042375	14.928149347056001
118	6	move	16	False	FacebookAI/roberta-base	0.625444769859314	0.6770455837249756	6	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	26475	10.183993941238814
119	7	forward.	16	False	FacebookAI/roberta-base	0.3722482845187187	1.9101803898811336	7	8	order_meaning1_syn2	unexpected	The general issued an instruction to move forward.	4	14805	9.602787783003043
120	0	She	17	False	FacebookAI/roberta-base	0.1219305023550987	3.0358691215515137	0	9	order_meaning1_syn2	expected	She refused to obey the order.	5	272348	12.514839611059164
121	1	refused	17	False	FacebookAI/roberta-base	0.4220059514045715	1.2446647882461548	1	9	order_meaning1_syn2	expected	She refused to obey the order.	5	4484	8.408493774492896
122	2	to	17	False	FacebookAI/roberta-base	0.999879002571106	0.0001745518238749	2	9	order_meaning1_syn2	expected	She refused to obey the order.	5	3042375	14.928149347056001
123	3	obey	17	False	FacebookAI/roberta-base	0.5439059734344482	0.8785708546638489	3	9	order_meaning1_syn2	expected	She refused to obey the order.	5	535	6.284134161070802
124	4	the	17	False	FacebookAI/roberta-base	0.7219630479812622	0.4700030386447906	4	9	order_meaning1_syn2	expected	She refused to obey the order.	5	6500900	15.687451340644257
125	5	order.	17	False	FacebookAI/roberta-base	0.604322761297226	0.9338856339454652	5	9	order_meaning1_syn2	expected	She refused to obey the order.	5	24691	10.114234583513786
126	0	She	18	False	FacebookAI/roberta-base	0.2089782655239105	2.258575201034546	0	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	272348	12.514839611059164
127	1	refused	18	False	FacebookAI/roberta-base	0.5486355423927307	0.8660799264907837	1	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	4484	8.408493774492896
128	2	to	18	False	FacebookAI/roberta-base	0.9999105930328368	0.0001289812207687	2	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	3042375	14.928149347056001
129	3	obey	18	False	FacebookAI/roberta-base	0.1488677263259887	2.747896909713745	3	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	535	6.284134161070802
130	4	the	18	False	FacebookAI/roberta-base	0.3599891066551208	1.4739749431610107	4	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	6500900	15.687451340644257
131	5	instruction	18	False	FacebookAI/roberta-base	0.0005703424685634	10.775883674621582	5	9	order_meaning1_syn2	unexpected	She refused to obey the instruction	5	1865	7.531552381407289
132	0	The	19	False	FacebookAI/roberta-base	0.8734983205795288	0.1951231509447097	0	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	6500900	15.687451340644257
133	1	manager	19	False	FacebookAI/roberta-base	0.004333914257586	7.850113868713379	1	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	10565	9.26539657772426
134	2	gave	19	False	FacebookAI/roberta-base	0.1671284884214401	2.580970525741577	2	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	19334	9.869672204041397
135	3	an	19	False	FacebookAI/roberta-base	0.2737936377525329	1.868839144706726	3	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	435700	12.984711507260117
136	4	order	19	False	FacebookAI/roberta-base	0.9840458631515504	0.023202572017908	4	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	24691	10.114234583513786
137	5	to	19	False	FacebookAI/roberta-base	0.9962298274040222	0.0054494561627507	5	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	3042375	14.928149347056001
138	6	stop	19	False	FacebookAI/roberta-base	0.5757483243942261	0.7964898347854614	6	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	20247	9.91581130222496
139	7	production.	19	False	FacebookAI/roberta-base	0.4473466037889011	5.05670266598463	7	10	order_meaning1_syn2	expected	The manager gave an order to stop production.	4	12841	9.460476328353995
140	0	The	20	False	FacebookAI/roberta-base	0.8400353193283081	0.2514780759811401	0	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	6500900	15.687451340644257
141	1	manager	20	False	FacebookAI/roberta-base	0.0125006670132279	6.3218512535095215	1	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	10565	9.26539657772426
142	2	gave	20	False	FacebookAI/roberta-base	0.2164189219474792	2.208101511001587	2	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	19334	9.869672204041397
143	3	an	20	False	FacebookAI/roberta-base	0.1642037332057953	2.606441020965576	3	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	435700	12.984711507260117
144	4	instruction	20	False	FacebookAI/roberta-base	0.0022529941052198	8.793940544128418	4	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	1865	7.531552381407289
145	5	to	20	False	FacebookAI/roberta-base	0.992373526096344	0.0110448198392987	5	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	3042375	14.928149347056001
146	6	stop	20	False	FacebookAI/roberta-base	0.2142815887928009	2.222420215606689	6	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	20247	9.91581130222496
147	7	production.	20	False	FacebookAI/roberta-base	0.3144981824443675	5.888982683420181	7	10	order_meaning1_syn2	unexpected	The manager gave an instruction to stop production.	4	12841	9.460476328353995
148	0	The	21	False	FacebookAI/roberta-base	0.613518476486206	0.7048213481903076	0	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	6500900	15.687451340644257
149	1	files	21	False	FacebookAI/roberta-base	0.0051099527627229	7.61247444152832	1	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	5002	8.517793011488205
150	2	were	21	False	FacebookAI/roberta-base	0.042426262050867	4.558898448944092	2	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	242601	12.399177519481189
151	3	organized	21	False	FacebookAI/roberta-base	0.0141227841377258	6.14583158493042	3	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	4842	8.48528964240323
152	4	in	21	False	FacebookAI/roberta-base	0.9657565951347352	0.0502684973180294	4	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	2204092	14.605826644371975
153	5	alphabetical	21	False	FacebookAI/roberta-base	0.5732919573783875	1.384751377059729	5	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	118	4.77912349311153
154	6	order.	21	False	FacebookAI/roberta-base	0.7885134220123291	0.3957571126520633	6	11	order_meaning2_syn1	expected	The files were organized in alphabetical order.	6	24691	10.114234583513786
155	0	The	22	False	FacebookAI/roberta-base	0.6689519286155701	0.5800254940986633	0	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6	6500900	15.687451340644257
156	1	files	22	False	FacebookAI/roberta-base	0.0020522100385278	8.928606033325195	1	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6	5002	8.517793011488205
157	2	were	22	False	FacebookAI/roberta-base	0.0111912842839956	6.481480598449707	2	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6	242601	12.399177519481189
158	3	organized	22	False	FacebookAI/roberta-base	0.0263444222509861	5.246358394622803	3	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6	4842	8.48528964240323
159	4	in	22	False	FacebookAI/roberta-base	0.684473991394043	0.5469323396682739	4	11	order_meaning2_syn1	unexpected	The files were organized in alphabetical arrangement	6	2204092	14.605826644371975
