Unnamed: 0	wordpos_mod	word_mod	sentid	punctuation	model	prob	surp	wordpos	pairid	condition	comparison	sentence	ROI	freqs	log_freq	expected_surp_linear	adjusted_surp_linear	adjusted_prob_linear	expected_surp_gam	adjusted_surp	adjusted_prob
32	2	issued	5	False	FacebookAI/roberta-base	0.0489056520164012	4.353855133056641	2	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	3890	8.266421472984554	5.007365878865418	-0.6535107458087772	1.9222776246199298	5.793153841480978	-1.439298708424337	4.217736916224017
33	3	an	5	False	FacebookAI/roberta-base	0.7157419323921204	0.4824885427951813	3	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	435700	12.984711507260117	2.0545255497866908	-1.5720370069915095	4.816449348873281	2.0491251573559044	-1.5666366145607231	4.790508740044954
34	4	order	5	False	FacebookAI/roberta-base	0.7897476553916931	0.3405363261699676	4	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	24691	10.114234583513786	3.850951789495248	-3.5104154633252804	33.4621671996521	3.3230254223566957	-2.982489096186728	19.736882553648506
35	5	to	5	False	FacebookAI/roberta-base	0.9990652203559875	0.0013492606813088	5	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	3042375	14.928149347056001	0.8382667804615807	-0.8369175197802718	2.3092378147888644	0.38789303629230476	-0.38654377561099595	1.471884828313792
36	6	move	5	False	FacebookAI/roberta-base	0.7019907832145691	0.5104759931564331	6	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	26475	10.183993941238814	3.8072943959639662	-3.296818402807533	27.02651450403857	3.2406786864135784	-2.7302026932571453	15.335995207712415
37	7	forward.	5	False	FacebookAI/roberta-base	0.5401514545083046	1.2350301668047905	7	3	order_meaning1_syn1	expected	The general issued an order to move forward.	4	14805	9.602787783003043	4.171029768541799	-2.9359996017370085	18.840326548802793	3.9793949293503483	-2.744364762545558	15.554729846154116
38	0	The	6	False	FacebookAI/roberta-base	0.8802408576011658	0.1840298026800155	0	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	6500900	15.687451340644257	0.36307396011145876	-0.17904415743144325	1.1960735585379638	0.6392157956081483	-0.45518599292813283	1.576466567401011
39	1	general	6	False	FacebookAI/roberta-base	0.0083817970007658	6.898524761199951	1	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	24827	10.119727327533543	3.847514273797607	3.051010487402344	0.04731109296525175	3.316465997249933	3.5820587639500183	0.027818367807776405
40	2	issued	6	False	FacebookAI/roberta-base	0.0547935031354427	4.1898512840271	2	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	3890	8.266421472984554	5.007365878865418	-0.8175145948383182	2.2648637324202707	5.793153841480978	-1.603302557453878	4.969417139386731
41	3	an	6	False	FacebookAI/roberta-base	0.0002183767355745	12.160893440246582	3	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	435700	12.984711507260117	2.0545255497866908	10.106367890459891	4.0818796240957406e-05	2.0491251573559044	10.111768282890678	4.059895287721944e-05
42	4	command	6	False	FacebookAI/roberta-base	4.941573024552781e-06	17.626598358154297	4	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	4722	8.460199469896118	4.886094087599536	12.740504270554762	2.930011322656848e-06	5.547357387161705	12.079240970992592	5.676129571355879e-06
43	5	to	6	False	FacebookAI/roberta-base	0.9960311055183412	0.0057372692972421	5	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	3042375	14.928149347056001	0.8382667804615807	-0.8325295111643386	2.299127058627133	0.38789303629230476	-0.38215576699506265	1.4654403345929952
44	6	move	6	False	FacebookAI/roberta-base	0.6546449661254883	0.6112154126167297	6	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	26475	10.183993941238814	3.8072943959639662	-3.1960789833472365	24.436526077548045	3.2406786864135784	-2.6294632737968486	13.866325484272718
45	7	forward.	6	False	FacebookAI/roberta-base	0.3851271569728851	1.4597560465335844	7	3	order_meaning1_syn1	unexpected	The general issued an command to move forward.	4	14805	9.602787783003043	4.171029768541799	-2.7112737220082144	15.048430830550044	3.9793949293503483	-2.519638882816764	12.424109294040706
46	0	She	7	False	FacebookAI/roberta-base	0.1219305023550987	3.0358691215515137	0	4	order_meaning1_syn1	expected	She refused to obey the order.	5	272348	12.514839611059164	2.348584769233529	0.6872843523179846	0.5029400241278354	2.1461111782554143	0.8897579432960994	0.41075516676172286
47	1	refused	7	False	FacebookAI/roberta-base	0.4220059514045715	1.2446647882461548	1	4	order_meaning1_syn1	expected	She refused to obey the order.	5	4484	8.408493774492896	4.918452984895075	-3.6737881966489203	39.40088179546167	5.6141330122644595	-4.369468224018305	79.00160936894399
48	2	to	7	False	FacebookAI/roberta-base	0.999879002571106	0.0001745518238749	2	4	order_meaning1_syn1	expected	She refused to obey the order.	5	3042375	14.928149347056001	0.8382667804615807	-0.8380922286377057	2.311952090833745	0.38789303629230476	-0.3877184844684299	1.47361488041355
49	3	obey	7	False	FacebookAI/roberta-base	0.5439059734344482	0.8785708546638489	3	4	order_meaning1_syn1	expected	She refused to obey the order.	5	535	6.284134161070802	6.24793775467608	-5.369366900012231	214.72688107652817	6.978968986815474	-6.100398132151625	446.03531573681005
50	4	the	7	False	FacebookAI/roberta-base	0.7219630479812622	0.4700030386447906	4	4	order_meaning1_syn1	expected	She refused to obey the order.	5	6500900	15.687451340644257	0.36307396011145876	0.10692907853333183	0.8985894000086531	0.6392157956081483	-0.16921275696335775	1.1843720955307884
51	5	order.	7	False	FacebookAI/roberta-base	0.604322761297226	0.9338856339454652	5	4	order_meaning1_syn1	expected	She refused to obey the order.	5	24691	10.114234583513786	3.850951789495248	-2.917066155549783	18.48696992499341	3.3230254223566957	-2.3891397884112306	10.90411006571686
52	0	She	8	False	FacebookAI/roberta-base	0.1801367402076721	2.4728357791900635	0	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	272348	12.514839611059164	2.348584769233529	0.12425100995653438	0.8831581315740736	2.1461111782554143	0.32672460093464917	0.721282356163157
53	1	refused	8	False	FacebookAI/roberta-base	0.5044357180595398	0.9872576594352722	1	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	4484	8.408493774492896	4.918452984895075	-3.931195325459803	50.96786445820597	5.6141330122644595	-4.626875352829187	102.19424375320105
54	2	to	8	False	FacebookAI/roberta-base	0.9999120235443116	0.0001269176136702	2	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	3042375	14.928149347056001	0.8382667804615807	-0.8381398628479104	2.3120622214685955	0.38789303629230476	-0.3877661186786346	1.4736850765663803
55	3	obey	8	False	FacebookAI/roberta-base	0.1696099191904068	2.5597076416015625	3	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	535	6.284134161070802	6.24793775467608	-3.6882301130745176	39.97403478947399	6.978968986815474	-4.419261345213911	83.03492855299635
56	4	the	8	False	FacebookAI/roberta-base	0.3055790662765503	1.7103824615478516	4	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	6500900	15.687451340644257	0.36307396011145876	1.3473085014363928	0.2599389452675948	0.6392157956081483	1.0711666659397032	0.3426085744097132
57	5	command	8	False	FacebookAI/roberta-base	0.0031700578983873	8.301275253295898	5	4	order_meaning1_syn1	unexpected	She refused to obey the command	5	4722	8.460199469896118	4.886094087599536	3.415181165696363	0.03287045116388531	5.547357387161705	2.753917866134193	0.06367789040008079
58	0	The	9	False	FacebookAI/roberta-base	0.8734983205795288	0.1951231509447097	0	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	6500900	15.687451340644257	0.36307396011145876	-0.16795080916674907	1.182878422441425	0.6392157956081483	-0.4440926446634387	1.559074918902463
59	1	manager	9	False	FacebookAI/roberta-base	0.004333914257586	7.850113868713379	1	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	10565	9.26539657772426	4.38217879719125	3.4679350715221293	0.031181351489920326	4.444270508317319	3.4058433603960596	0.03317882657102296
60	2	gave	9	False	FacebookAI/roberta-base	0.1671284884214401	2.580970525741577	2	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	19334	9.869672204041397	4.004005894231394	-1.423035368489817	4.149697203172955	3.626797325820024	-1.045826800078447	2.845750417913381
61	3	an	9	False	FacebookAI/roberta-base	0.2737936377525329	1.868839144706726	3	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	435700	12.984711507260117	2.0545255497866908	-0.1856864050799647	1.2040446188915184	2.0491251573559044	-0.18028601264917832	1.1975598314042748
62	4	order	9	False	FacebookAI/roberta-base	0.9840458631515504	0.023202572017908	4	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	24691	10.114234583513786	3.850951789495248	-3.82774921747734	45.95897806763387	3.3230254223566957	-3.2998228503387876	27.107836351257852
63	5	to	9	False	FacebookAI/roberta-base	0.9962298274040222	0.0054494561627507	5	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	3042375	14.928149347056001	0.8382667804615807	-0.8328173242988299	2.2997888728273113	0.38789303629230476	-0.38244358012955404	1.4658621682708293
64	6	stop	9	False	FacebookAI/roberta-base	0.5757483243942261	0.7964898347854614	6	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	20247	9.91581130222496	3.9751307320700953	-3.178640897284634	24.014093743061018	3.5678674655246754	-2.771377630739214	15.98063426519638
65	7	production.	9	False	FacebookAI/roberta-base	0.4473466037889011	5.05670266598463	7	5	order_meaning1_syn1	expected	The manager gave an order to stop production.	4	12841	9.460476328353995	4.260092331361147	0.796610334623483	0.4508546232256873	4.17368786216154	0.88301480382309	0.4135343056704984
66	0	The	10	False	FacebookAI/roberta-base	0.7755001783370972	0.366800993680954	0	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	6500900	15.687451340644257	0.36307396011145876	0.0037270335694952195	0.9962799031995858	0.6392157956081483	-0.27241480192719436	1.3131315778667565
67	1	manager	10	False	FacebookAI/roberta-base	0.0037042226176708	8.076613426208496	1	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	10565	9.26539657772426	4.38217879719125	3.6944346290172465	0.02486150566370857	4.444270508317319	3.632342917891177	0.026454131886404626
68	2	gave	10	False	FacebookAI/roberta-base	0.0772541314363479	3.694244146347046	2	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	19334	9.869672204041397	4.004005894231394	-0.3097617478843482	1.3631003139079096	3.626797325820024	0.06744682052702178	0.9347774302653428
69	3	an	10	False	FacebookAI/roberta-base	0.0002812304010149	11.79595947265625	3	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	435700	12.984711507260117	2.0545255497866908	9.74143392286956	5.879616520023367e-05	2.0491251573559044	9.746834315300346	5.847949866611518e-05
70	4	command	10	False	FacebookAI/roberta-base	2.3140971734392224e-06	18.72111892700196	4	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	4722	8.460199469896118	4.886094087599536	13.835024839402426	9.806748896408737e-07	5.547357387161705	13.173761539840255	1.8998007611551632e-06
71	5	to	10	False	FacebookAI/roberta-base	0.990932822227478	0.0131408432498574	5	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	3042375	14.928149347056001	0.8382667804615807	-0.8251259372117232	2.282168157126655	0.38789303629230476	-0.37475219304244733	1.4546309022930557
72	6	stop	10	False	FacebookAI/roberta-base	0.4385019540786743	1.1893447637557983	6	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	20247	9.91581130222496	3.9751307320700953	-2.785785968314297	16.21255542531024	3.5678674655246754	-2.378522701768877	10.788952584603473
73	7	production.	10	False	FacebookAI/roberta-base	0.3299695174209773	3.736883759498596	7	5	order_meaning1_syn1	unexpected	The manager gave an command to stop production.	4	12841	9.460476328353995	4.260092331361147	-0.5232085718625505	1.68743322373662	4.17368786216154	-0.43680410266294345	1.5477528466952104
74	0	The	11	False	FacebookAI/roberta-base	0.96859210729599	0.046038880944252	0	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	-0.31703507916720675	1.3730507365570372	0.6392157956081483	-0.5931769146638963	1.8097286459316024
75	1	captain	11	False	FacebookAI/roberta-base	0.1735622584819793	2.526474952697754	1	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3968	8.286269452783065	4.9949444476320615	-2.4684694949343076	11.804366376509808	5.768566666245918	-3.242091713548164	25.587186876439265
76	2	gave	11	False	FacebookAI/roberta-base	0.6407376527786255	0.642194390296936	2	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	19334	9.869672204041397	4.004005894231394	-3.361811503934458	28.841389876860617	3.626797325820024	-2.984602935523088	19.77864727877545
77	3	an	11	False	FacebookAI/roberta-base	0.1229027807712555	3.024410486221313	3	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	435700	12.984711507260117	2.0545255497866908	0.9698849364346223	0.37912665925889194	2.0491251573559044	0.9752853288654086	0.37708474504951156
78	4	order	11	False	FacebookAI/roberta-base	0.9915716648101808	0.0122110554948449	4	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	24691	10.114234583513786	3.850951789495248	-3.838740734000403	46.46692336513813	3.3230254223566957	-3.310814366861851	27.40743609387774
79	5	to	11	False	FacebookAI/roberta-base	0.9988481998443604	0.0016626298893243	5	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3042375	14.928149347056001	0.8382667804615807	-0.8366041505722563	2.308514284135759	0.38789303629230476	-0.38623040640298045	1.4714236571930417
80	6	fire	11	False	FacebookAI/roberta-base	0.0422908253967762	4.563511371612549	6	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	15897	9.673948594133059	4.12649530554181	0.43701606607073895	0.6459610532712803	3.883665977268175	0.6798453943443739	0.5066953242729676
81	7	the	11	False	FacebookAI/roberta-base	0.6545588970184326	0.6114051342010498	7	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	0.24833117408959104	0.7801015510730291	0.6392157956081483	-0.027810661407098536	1.0282009878619587
82	8	engines.	11	False	FacebookAI/roberta-base	0.4285039914539083	4.9229257851839066	8	6	order_meaning1_syn2	expected	The captain gave an order to fire the engines.	4	3336	8.112827478751374	5.103489376399764	-0.18056359121585785	1.1978922944859671	5.978226654732756	-1.0553008695488497	2.8728393737724103
83	0	The	12	False	FacebookAI/roberta-base	0.9597779512405396	0.0592274330556392	0	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	-0.30384652705581955	1.3550610749176266	0.6392157956081483	-0.5799883625525092	1.7860176459425603
84	1	captain	12	False	FacebookAI/roberta-base	0.1438014209270477	2.7978501319885254	1	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3968	8.286269452783065	4.9949444476320615	-2.197094315643536	8.998827721119024	5.768566666245918	-2.9707165342573925	19.505891229143113
85	2	gave	12	False	FacebookAI/roberta-base	0.5239588022232056	0.9324747920036316	2	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	19334	9.869672204041397	4.004005894231394	-3.0715311022277625	21.574910793131618	3.626797325820024	-2.6943225338163925	14.795491911808115
86	3	an	12	False	FacebookAI/roberta-base	0.0472616627812385	4.403185844421387	3	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	435700	12.984711507260117	2.0545255497866908	2.348660294634696	0.09549701441687185	2.0491251573559044	2.3540606870654823	0.0949826831085107
87	4	instruction	12	False	FacebookAI/roberta-base	0.0042460574768483	7.879660129547119	4	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	1865	7.531552381407289	5.467267893035678	2.412392236511441	0.08960069193775881	6.5726313469664674	1.3070287825806517	0.2706229426204258
88	5	to	12	False	FacebookAI/roberta-base	0.9958946704864502	0.0059349359944462	5	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3042375	14.928149347056001	0.8382667804615807	-0.8323318444671345	2.29867264268793	0.38789303629230476	-0.38195810029785854	1.465150694469153
89	6	fire	12	False	FacebookAI/roberta-base	0.0232407581061124	5.427198886871338	6	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	15897	9.673948594133059	4.12649530554181	1.300703581329528	0.27234011219216914	3.883665977268175	1.543532909603163	0.21362504869437574
90	7	the	12	False	FacebookAI/roberta-base	0.6359705328941345	0.6529682278633118	7	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	6500900	15.687451340644257	0.36307396011145876	0.289894267751853	0.7483426873504537	0.6392157956081483	0.013752432255163427	0.9863417004294327
91	8	engines.	12	False	FacebookAI/roberta-base	0.3326071460614912	4.823582887649536	8	6	order_meaning1_syn2	unexpected	The captain gave an instruction to fire the engines.	4	3336	8.112827478751374	5.103489376399764	-0.2799064887502283	1.3230060905998524	5.978226654732756	-1.1546437670832201	3.172892927278521
92	0	He	13	False	FacebookAI/roberta-base	0.4683234691619873	1.0944228172302246	0	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	622141	13.340923641485727	1.831597847587883	-0.7371750303576583	2.0900229156817898	1.873471863441361	-0.7790490462111364	2.1793987722364188
93	1	followed	13	False	FacebookAI/roberta-base	0.1706204563379287	2.5511374473571777	1	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	11223	9.325809621782296	4.344370593032311	-1.7932331456751331	6.008848577050876	4.360111781084139	-1.8089743337269617	6.1041833653564055
94	2	the	13	False	FacebookAI/roberta-base	0.798460066318512	0.3247078359127044	2	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	6500900	15.687451340644257	0.36307396011145876	-0.03836612419875435	1.0391116071467197	0.6392157956081483	-0.31450795969544393	1.3695852539935087
95	3	order	13	False	FacebookAI/roberta-base	0.0208832509815692	5.581509590148926	3	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	24691	10.114234583513786	3.850951789495248	1.7305578006536777	0.1771855481852571	3.3230254223566957	2.25848416779223	0.10450878252657247
96	4	without	13	False	FacebookAI/roberta-base	0.9962157607078552	0.0054698446765542	4	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	57243	10.955078112430767	3.32472795319135	-3.319258108514796	27.639837190247135	2.508030563224414	-2.5025607185478598	12.213729875071929
97	5	hesitation.	13	False	FacebookAI/roberta-base	0.669998049736023	0.6748878434300423	5	7	order_meaning1_syn2	expected	He followed the order without hesitation.	3	414	6.028278520230698	6.408059504124859	-5.733171660694817	308.9475930379556	6.898459689039742	-6.223571845609699	504.50202093823776
